artist,album,track_name,energy,valence,danceability,speechiness,acousticness,popularity,duration
Josylvio,Gimma,Money Baby,0.8,0.719,0.684,0.239,0.22,0,159.118
G.E.M.,新的心跳,來自天堂的魔鬼,0.7,0.302,0.595,0.0301,0.0244,63,245.493
Mad Clip,Montecristo,Montecristo,0.732,0.66,0.798,0.0832,0.144,51,263.529
Yida Huang,黃義達 過程 精選,那女孩對我說,0.394,0.482,0.55,0.0262,0.817,40,270.698
Nass,20 Jaar,20 Jaar,0.703,0.547,0.754,0.322,0.554,58,216.01
Matuê,Anos Luz,Anos Luz,0.484,0.297,0.623,0.167,0.425,0,264.081
DJ Snake,Encore,Middle,0.695,0.224,0.583,0.0423,0.0141,75,220.573
Kenji Wu,錯的人 (電視劇《愛情的開關》插曲),錯的人,0.476,0.359,0.453,0.032,0.706,41,266.746
Matthaios,Vibe With Me,Vibe With Me,0.297,0.443,0.817,0.0553,0.722,71,139.18
iLL BLU,Dumpa (feat. M24 & Unknown T),Dumpa (feat. M24 & Unknown T),0.648,0.8,0.791,0.266,0.365,65,220.003
Astrid S,Someone New,Someone New,0.697,0.434,0.881,0.27,0.129,55,176.618
Denny Caknan,Kartonyono Medot Janji,Kartonyono Medot Janji,0.782,0.749,0.727,0.0317,0.312,48,261.724
Samra,Jibrail & Iblis,Carlibel,0.747,0.461,0.54,0.199,0.448,59,171.253
Dylan Fuentes,Ajena,Ajena,0.604,0.718,0.701,0.445,0.271,0,162.902
The Chainsmokers,World War Joy,The Reaper,0.564,0.648,0.633,0.0701,0.135,67,182.933
