artist,album,track_name,energy,valence,danceability,speechiness,acousticness,popularity,duration
Vidas Bareikis,Kai aš verkiu,Kai aš verkiu,0.276,0.0766,0.654,0.0689,0.474,14,222.485
Trippie Redd,YELL OH,YELL OH,0.578,0.19,0.842,0.138,0.00419,64,236.779
Kabza De Small,Scorpion Kings Live,Phoyisa - Live,0.662,0.205,0.84,0.072,0.317,32,356.414
Red Velvet,RBB,RBB (Really Bad Boy),0.85,0.367,0.719,0.0317,0.012,48,188.786
Silent Sanctuary,Fuchsiang Pag-Ibig,Kundiman,0.571,0.454,0.335,0.0243,0.564,60,339.053
SFDK,Un Pobre Con Dinero,Un Pobre Con Dinero,0.764,0.531,0.792,0.254,0.104,58,205.111
Dizzy,Härifrån,Härifrån,0.439,0.532,0.791,0.17,0.34,58,190.909
Mor,מחזיק לי את היד,מחזיק לי את היד,0.434,0.167,0.703,0.0616,0.0678,42,214.599
Amanda Delara,Et lite stykke Norge,Nå er det oss,0.577,0.641,0.613,0.0608,0.333,54,175.373
Jhené Aiko,Chilombo,One Way St. (feat. Ab-Soul),0.598,0.365,0.384,0.153,0.168,60,174.333
Katja Krasavice,GUCCI GIRL,GUCCI GIRL,0.671,0.668,0.827,0.0394,0.392,45,163.195
Rocco Hunt,Libertà,Ti volevo dedicare (feat. J-AX & Boomdabash),0.725,0.271,0.754,0.0661,0.0104,73,208.133
Max Jenmana,ไวน์,ไวน์,0.575,0.191,0.531,0.0342,0.091,49,230.525
Tanel Padar,Tartust Pariis,Tartust Pariis,0.852,0.732,0.595,0.0499,0.0524,26,219.565
Gazapizm,Ölüler Dirilerden Çalacak,Ölüler Dirilerden Çalacak,0.791,0.592,0.677,0.0579,0.0505,20,276.444
Gemitaiz,Scatola Nera,Californication,0.527,0.293,0.821,0.0608,0.0602,51,185.6
MamboLosco,Arte,Sugo (feat. Nashley),0.489,0.524,0.668,0.204,0.244,43,180.533
GOT7,SPINNING TOP : BETWEEN SECURITY & INSECURITY,끝,0.835,0.656,0.706,0.168,0.0381,51,243.324
Reykon,Latina (feat. Maluma),Latina (feat. Maluma),0.713,0.75,0.826,0.129,0.0748,69,226.739
Jey,Como É Que Vamos Fazer?,Como É Que Vamos Fazer?,0.803,0.68,0.876,0.14,0.113,33,171.537
KC Rebell,Hasso,Für mich da,0.62,0.251,0.705,0.0732,0.516,43,194.084
Michele Zarrillo,Nell'estasi o nel fango,Nell'estasi o nel fango,0.864,0.39,0.7,0.043,0.0754,45,225.327
Shanguy,Désolée (Paris/Paname),Désolée (Paris/Paname),0.692,0.602,0.825,0.0627,0.172,61,207.821
Chance the Rapper,The Big Day,Hot Shower,0.509,0.599,0.899,0.387,0.00157,76,225.924
December Avenue,Sa Ngalan Ng Pag-Ibig,Sa Ngalan Ng Pag-Ibig,0.762,0.271,0.518,0.0305,0.0851,66,285.138
Jimmy P,Contigo,Contigo,0.658,0.896,0.731,0.242,0.532,37,191.21
Radikal Chef,FREERIDE 3,Drop Lord,0.689,0.278,0.695,0.138,0.221,26,214
Parazitii,Arma Secreta,Asta E Rap,0.774,0.808,0.889,0.322,0.181,30,215.049
Samey,XYZ,?,0.51,0.161,0.716,0.26,0.155,40,159.644
Morgan Sulele,Helt Ærlig,Helt Ærlig,0.864,0.616,0.64,0.051,0.11,60,168.511
Aniceto Molina,Embajador de Cumbia y Vallenato Clasico,Agua Loca,0.931,0.962,0.773,0.0527,0.293,20,202.36
Pop Pongkool,พรุ่งนี้ค่อย (Cheat Day),พรุ่งนี้ค่อย (Cheat Day),0.747,0.526,0.546,0.0624,0.378,51,239.286
Joe Arroyo,Sabor a Salsa,La rebelion,0.755,0.875,0.571,0.0735,0.142,68,376.013
KANG DANIEL,CYAN,2U,0.742,0.564,0.717,0.0688,0.0353,63,195.253
Sobel,Każdego Dnia,Każdego Dnia,0.258,0.651,0.834,0.223,0.931,59,185.714
Hooligan Hefs,F.A.M.E,F.A.M.E,0.748,0.625,0.853,0.189,0.172,20,235.141
Rachel Mason,Give You Everything,Give You Everything,0.757,0.131,0.234,0.0421,0.0165,41,256.8
Keko Salata,Tavallinen,Tavallinen,0.537,0.404,0.803,0.0564,0.673,40,231.791
Kaza,3.5.7,3.5.7,0.585,0.387,0.631,0.0658,0.35,52,175.4
Backstreet Boys,Backstreet Boys,As Long as You Love Me,0.816,0.753,0.775,0.0281,0.164,59,214.333
PNL,Dans la légende,Bené,0.7,0.769,0.784,0.108,0.491,61,190.067
Mads Langer,"All The Time, Sometimes",Flawless,0.598,0.502,0.744,0.0273,0.03,49,208.643
Samra,Jibrail & Iblis,Schüsse im Regen,0.815,0.538,0.775,0.243,0.115,58,152.213
3robi,Chouk (feat. 7Liwa),Chouk (feat. 7Liwa),0.66,0.663,0.776,0.361,0.166,36,202.723
The Toys,Stars,Stars,0.479,0.22,0.7,0.0315,0.295,47,164.571
Boro Purvi,SUPERBORO,Вс искат да са лоши,0.581,0.528,0.867,0.265,0.283,31,186.761
Sneazzy,NOUVO MODE,SANG FROID,0.644,0.307,0.841,0.232,0.536,49,184.413
Lefa,3 du mat,Paradise (feat. Lomepal),0.579,0.327,0.705,0.29,0.151,61,157.507
Ariff Bahran,Kata Akhirmu,Kata Akhirmu,0.527,0.434,0.434,0.0275,0.0877,42,252.677
Aldair Playboy,Amor Falso,Amor Falso,0.55,0.9,0.767,0.0554,0.279,55,177.816
Wally,Ensom,Ensom,0.66,0.257,0.582,0.0689,0.00549,33,153.983
Lacrim,Lacrim,26 décembre 1999,0.64,0.469,0.801,0.331,0.133,40,205.533
Al James,Repeat,Repeat,0.314,0.571,0.844,0.346,0.434,59,230
Childish Gambino,3.15.20,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",0.524,0.41,0.691,0.16,0.197,69,392.187
Eden Hason,את חסרה לי,את חסרה לי,0.645,0.307,0.651,0.063,0.47,56,169.846
Bato,ICH HEBE MEIN GLAS,ICH HEBE MEIN GLAS,0.767,0.357,0.741,0.343,0.285,45,206.027
Luigi,Púlla Upp,Púlla Upp,0.83,0.704,0.819,0.172,0.229,0,146.163
Dua Lipa,Future Nostalgia,Break My Heart,0.729,0.467,0.73,0.0886,0.167,90,221.82
Svanhildur Jakobsdóttir,Jólin jólin,"Jólin, jólin",0.277,0.717,0.465,0.0886,0.748,2,145.357
Pritam,"Shayad (From ""Love Aaj Kal"")","Shayad (From ""Love Aaj Kal"")",0.456,0.348,0.487,0.0319,0.789,70,247.941
F,MÄ EN oo vIEL TARpEEks Iso,Piirrä kuvia,0.654,0.664,0.782,0.161,0.0305,28,186.702
Meet Bros.,"Kinna Sona (From ""Marjaavaan"")","Kinna Sona (From ""Marjaavaan"")",0.723,0.591,0.533,0.0614,0.283,60,273.926
Soobin Hoang Son,Between us,Between us - Vietnamese version,0.558,0.582,0.687,0.0309,0.409,39,186.699
Alan 1,Jupiter,I Wish,0.829,0.618,0.813,0.047,0.775,0,234.71
Big Toe,Wasser,Wasser,0.787,0.842,0.94,0.102,0.239,47,199.834
Katja Krasavice,CASINO,CASINO,0.489,0.542,0.794,0.084,0.279,59,201.548
Pamungkas,Walk The Talk,I Love You but I'm Letting Go,0.319,0.131,0.393,0.0303,0.972,70,220.163
Piruka,Até Já,Até Já,0.677,0.872,0.713,0.392,0.604,44,259.14
ScHoolboy Q,CHopstix (with Travis Scott),CHopstix (with Travis Scott),0.6,0.607,0.958,0.118,0.0391,0,181.153
Nekfeu,Les étoiles vagabondes : expansion,Les étoiles vagabondes,0.469,0.445,0.776,0.423,0.36,61,234.053
DA Uzi,Mexico,Wey wey wey,0.761,0.379,0.613,0.387,0.39,40,192.56
METRICKZ,Mufasa,Wünsch mir was,0.642,0.373,0.707,0.203,0.0491,58,195.859
FILV,BALENCIAGA,BALENCIAGA,0.754,0.192,0.676,0.131,0.00834,56,154.787
ZK,2000,Rosa,0.816,0.749,0.732,0.0931,0.313,37,161.75
Fredo,Third Avenue,Morning,0.542,0.3,0.553,0.344,0.0988,42,172.8
Chance the Rapper,The Big Day,We Go High,0.644,0.567,0.657,0.363,0.802,56,299.168
Kaaris,Or Noir Part 3,Tout était écrit,0.73,0.358,0.898,0.264,0.267,35,173.493
SHIRIN DAVID,HOES UP G'S DOWN,HOES UP G'S DOWN,0.777,0.578,0.73,0.29,0.0455,76,130.307
Maniak,Ballerbyn,Ballerbyn,0.741,0.451,0.68,0.346,0.16,22,201.951
Dave,Funky Friday,Funky Friday,0.535,0.671,0.975,0.196,0.0783,69,182.741
Lil Baby,My Turn,Grace (feat. 42 Dugg),0.513,0.177,0.817,0.394,0.38,72,203.438
Picture This,Everything Or Nothing,Everything Or Nothing,0.689,0.257,0.606,0.0279,0.00511,0,238.213
Paweł Domagała,1984,Wystarczę ja,0.619,0.703,0.735,0.0519,0.335,49,205.925
Trippie Redd,A Love Letter To You 4,All For Me,0.737,0.642,0.445,0.483,0.505,59,164.78
Neo Pistea,Karma,Karma,0.6,0.448,0.609,0.12,0.354,47,195.514
Egor Kreed,58,Мне всё Монро,0.617,0.428,0.82,0.151,0.249,48,139.742
Peter Lundblad,Ta mej till havet,Ta mig till havet,0.23,0.297,0.545,0.0263,0.461,46,268.907
Dark Polo Gang,Trap Lovers,Cambiare Adesso,0.777,0.588,0.666,0.0587,0.279,0,228.975
Julia Rautio,Sun ois pitäny taistella must,Sun ois pitäny taistella must,0.687,0.715,0.737,0.172,0.333,24,170.686
Nik Tendo,FATAMORGANA,Legit Check,0.472,0.0527,0.859,0.06,0.19,47,202.222
Fy,Lingo,Ice Baby,0.459,0.545,0.912,0.43,0.13,40,180
P!nk,Hustle,Hustle,0.794,0.542,0.716,0.326,0.0802,50,175.6
Marc Tatchapon,ด้วยความยินดี,ด้วยความยินดี,0.497,0.355,0.341,0.0317,0.639,50,257.57
Jessica Shy,Stadionai,Stadionai,0.786,0.961,0.831,0.0396,0.0693,39,194.754
Lil Tecca,Did It Again,Did It Again,0.575,0.234,0.699,0.159,0.218,3,116.24
Vũ.,Vu Tru Song Song,Còn lại gì?,0.427,0.116,0.308,0.0334,0.479,0,275.999
Hamza,Santa Sauce 2,Late Nights,0.388,0.377,0.693,0.0711,0.677,49,203.995
Guyon Waton,Perlahan,Perlahan,0.537,0.398,0.659,0.0343,0.675,71,300.001
RIN,UP IN SMOKE,UP IN SMOKE,0.663,0.314,0.791,0.153,0.235,62,174.6
Twenty One Pilots,Trench,Morph,0.607,0.518,0.734,0.0806,0.0747,68,258.853
Sorriso Maroto,"Ao Cubo, Ao Vivo, Em Cores",50 Vezes - Ao Vivo,0.657,0.574,0.557,0.0277,0.822,69,184.107
Hoang Thuy Linh,Hoang,Lam Moi Toi Ngoi Khong,0.644,0.788,0.866,0.0479,0.777,49,194.645
Jass Manak,Prada,Prada,0.65,0.502,0.721,0.0903,0.0361,22,182.115
Snik,TOPBOY,Millionaire,0.783,0.545,0.881,0.163,0.382,63,155.293
Michael Pangilinan,Michael,Hanggang Kailan,0.174,0.324,0.404,0.0312,0.893,58,230.453
Chau Dang Khoa,Tinh Nhan Oi,Tinh Nhan Oi,0.545,0.567,0.383,0.158,0.522,39,385.358
The Starlings,Dancing In The Dark (Live Uit Liefde Voor Muziek),Dancing In The Dark - Live Uit Liefde Voor Muziek,0.156,0.199,0.556,0.0345,0.903,47,206.133
Fredo,All I Ever Wanted (feat. Dave) [Edit],All I Ever Wanted (feat. Dave) - Edit,0.676,0.269,0.876,0.165,0.188,44,251.989
Mawat,Peer Pressure,Inanda,0.436,0.41,0.752,0.0623,0.0426,33,234.493
Dani Faiv,Scusate se esistiamo,Canna e Playstation - prod. Strage,0.74,0.557,0.723,0.484,0.565,58,147.071
Marracash,Persona,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),0.661,0.509,0.656,0.0602,0.0686,43,223.045
Future,High Off Life,All Bad (feat. Lil Uzi Vert),0.667,0.667,0.931,0.318,0.0144,77,207.739
Decky,KINGPIN,PRÁVĚ TEĎ,0.548,0.547,0.784,0.312,0.217,28,180
Sam Fender,Play God,Play God,0.677,0.614,0.7,0.0458,0.131,59,226.967
Band Aid,Do They Know It's Christmas?,Do They Know It's Christmas? - 1984 Version,0.642,0.349,0.599,0.0363,0.164,48,222.533
OG Version,Laikas,Laikas,0.285,0.416,0.892,0.111,0.482,30,164.571
Toni Storaro,Shefkata,Shefkata,0.88,0.814,0.721,0.0388,0.0215,36,260.87
Juno Mak,Nothing Lasts Forever,耿耿於懷,0.741,0.148,0.588,0.038,0.452,49,220.933
Ciro y los Persas,27,Mirenla,0.717,0.803,0.635,0.0263,0.00957,65,255.813
Yo Yo Honey Singh,"Funk Love (From ""Jhootha Kahin Ka"")",Funk Love,0.652,0.837,0.921,0.0436,0.0262,27,238.69
Lauv,~how i'm feeling~,Changes,0.455,0.204,0.532,0.156,0.452,38,160.187
Kube,Hakunila Killah,Täälpäin opittuu,0.641,0.657,0.921,0.272,0.00244,34,174.5
Philip,Dalla Zona,Equipe (feat. Shiva),0.715,0.785,0.889,0.0545,0.184,59,216.774
Illy,Lean On Me,Lean On Me,0.531,0.48,0.714,0.0484,0.0204,55,227.023
Headie One,Rose Gold,Rose Gold,0.599,0.419,0.788,0.135,0.361,68,204.536
Mark Ronson,Late Night Feelings,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.794,0.244,0.601,0.0671,0.00987,67,217.099
Daskeladden,Pimper Damer,Pimper Damer,0.902,0.139,0.769,0.0694,0.507,56,152.585
Katy Perry,Cozy Little Christmas,Cozy Little Christmas,0.608,0.56,0.774,0.128,0.128,43,182.521
Mindset,มีแต่เธอในหัวใจ,มีแต่เธอในหัวใจ,0.55,0.71,0.728,0.0923,0.557,41,195.096
NMW,Am Intrat,Am Intrat,0.232,0.592,0.846,0.405,0.0108,38,238.759
Armi Millare,"Kapit (From ""Alone / Together"")","Kapit - From ""Alone / Together""",0.323,0.428,0.586,0.0262,0.745,55,242.934
Dylisa,Verslavend,Verslavend,0.641,0.37,0.719,0.078,0.19,46,125.333
Eden Hason,שמישהו יעצור אותי,כפיות,0.495,0.334,0.636,0.0446,0.506,50,179.522
Kubilay Karça,Mücevher,Vicdan,0.536,0.115,0.699,0.0821,0.304,45,149.685
The Parkinson,เพื่อนรัก,เพื่อนรัก,0.588,0.42,0.584,0.0324,0.616,0,289.5
R3HAB,All Around The World (La La La),All Around The World (La La La),0.859,0.52,0.733,0.033,0.479,80,147.84
Michael Jackson,20th Century Masters: The Christmas Collection: Jackson 5,Little Christmas Tree - With Spoken Intro,0.431,0.335,0.493,0.0231,0.749,11,217.027
Hef,Tranen,Straat,0.575,0.756,0.563,0.352,0.206,48,175.041
MadMan,MM Vol. 3,7/8 Sour,0.712,0.257,0.929,0.144,0.0782,46,163.027
24SJU,Asme,Asme,0.556,0.621,0.941,0.101,0.0227,51,138.305
BLACHA,FAMA,Casablanca (Bonus Track),0.785,0.504,0.715,0.0996,0.509,56,144.64
Juanes,Más Futuro Que Pasado,Tequila,0.688,0.704,0.757,0.112,0.226,72,159.547
Anuel AA,Real Hasta la Muerte,Na' Nuevo,0.625,0.561,0.796,0.262,0.384,0,283
Lo & Leduc,Online,Online,0.687,0.535,0.811,0.24,0.142,40,209.8
Gunna,WUNNA,BLINDFOLD (feat. Lil Baby),0.507,0.219,0.889,0.162,0.0562,75,154.667
Fire EX.,自信勇敢咱的名,自信勇敢咱的名,0.669,0.318,0.53,0.0405,0.0423,44,252.687
Johanna Eendra,Miks Sa Teed Nii,Miks Sa Teed Nii,0.657,0.228,0.478,0.0309,0.0467,21,176.134
VilleGalle,Heartbreak Century (Vain elämää kausi 10),Heartbreak Century (Vain elämää kausi 10),0.95,0.815,0.634,0.0334,0.0586,44,173.626
Duki,Makina de Armado,Makina de Armado,0.931,0.902,0.767,0.0487,0.285,0,126.641
Lil Baby,My Turn,Woah,0.599,0.413,0.883,0.248,0.0177,75,183.011
DMS,Prepáčte,Colštok,0.723,0.395,0.6,0.558,0.62,33,401.076
Viki Gabor,Ramię W Ramię,Ramię W Ramię,0.71,0.749,0.612,0.186,0.0371,58,202.784
Rafa Pabön,La Mentira,La Mentira,0.491,0.528,0.913,0.164,0.553,0,197.966
Hiro,Infinity,Felhők,0.529,0.255,0.663,0.155,0.185,30,194.37
Stormzy,Heavy Is The Head,Superheroes,0.711,0.448,0.841,0.274,0.158,59,211.667
Lazza,Re Mida (Aurum),Million Dollar (feat. Emis Killa),0.695,0.645,0.755,0.0878,0.0495,53,190.862
TopGunn,1991,Familie,0.51,0.536,0.874,0.185,0.0976,50,177.88
Nathan Goshen,באתי לחלום,אין הרבה מה לעשות,0.362,0.355,0.593,0.0405,0.712,43,206.769
Drax Project,Catching Feelings (feat. Six60),Catching Feelings (feat. Six60),0.524,0.343,0.397,0.103,0.607,64,218.854
CA7RIEL,OUKE,OUKE,0.695,0.541,0.686,0.174,0.44,60,178.264
Elina,Here With Me,Here With Me,0.267,0.255,0.433,0.0469,0.681,59,196.365
ATYPISK,A NIVEAU,Plata O Plomo,0.753,0.839,0.795,0.2,0.246,36,166.893
Yksi Totuus,Helposti rikkoutuvaa (feat. Aikakone),Helposti rikkoutuvaa (feat. Aikakone),0.832,0.527,0.603,0.0423,0.031,46,191.759
Stefan Rauch,Dosenbier,Dosenbier,0.935,0.503,0.674,0.0661,0.0326,53,183.022
Sabyan Gambus,Sabyan Gambus,Ya Maulana,0.387,0.47,0.61,0.028,0.791,0,281
Judy Garland,Meet Me In St. Louis (Original Soundtrack Recording),Have Yourself A Merry Little Christmas,0.184,0.107,0.156,0.0393,0.97,41,162.333
Raimonds Pauls,Zelta 75 2,Muļķe sirds,0.57,0.807,0.788,0.0492,0.507,30,234.747
Hoang Thuy Linh,Hoang,Em Day Chang Phai Thuy Kieu,0.492,0.683,0.666,0.0504,0.681,54,214.5
Chillinit,The Octagon,Ready For The Pain,0.57,0.485,0.783,0.332,0.477,38,200.747
Hawk,Roumi Anana,Roumi Anana,0.66,0.158,0.897,0.229,0.345,40,152.96
Capital Bra,100k Cash,100k Cash,0.714,0.604,0.701,0.524,0.289,68,173.353
RIN,Nimmerland,Hollywood,0.698,0.296,0.608,0.0484,0.0374,62,175.107
Henrique & Juliano,Volta por Baixo (Ao Vivo),Volta por Baixo - Ao Vivo,0.771,0.467,0.531,0.05,0.386,78,192.632
A-Lin,雨後彩虹,雨後彩虹,0.754,0.439,0.562,0.0498,0.566,35,207.099
Boef,93,"SVP (feat. JoeyAK, Young Ellens & Sevn Alias)",0.814,0.735,0.579,0.42,0.0955,12,212.83
Moshiko Mor,אחי,אחי,0.652,0.499,0.728,0.0596,0.574,40,194.895
Benjamin Hav,Spice up your life,Der var lys,0.578,0.455,0.668,0.209,0.0286,34,254.865
Duki,She Don't Give a Fo,She Don't Give a Fo,0.556,0.342,0.854,0.14,0.345,70,209.531
SHY Martin,Make Us Never Happen,Make Us Never Happen,0.489,0.331,0.61,0.127,0.308,62,171.89
Pournaras,Lo Siento,Lo Siento,0.736,0.553,0.624,0.029,0.114,20,134.222
El Alfa,El Androide,Mera Woo,0.944,0.367,0.939,0.0683,0.043,56,182.678
Bring Me The Horizon,medicine,medicine,0.858,0.323,0.615,0.0396,0.00393,57,227.265
Stillaround,Lemonade,Lemonade,0.528,0.56,0.736,0.219,0.228,0,61.446
Karlo,999,Aladin 2020,0.598,0.372,0.89,0.0597,0.145,32,172.632
Küberünnak & Karmo,Lämmi,Lämmi,0.482,0.392,0.698,0.0549,0.00163,42,194.683
XXXTENTACION,Bad Vibes Forever,bad vibes forever,0.526,0.746,0.8,0.0716,0.334,72,150.475
Kay Tse,再度,再度,0.492,0.247,0.344,0.0292,0.389,46,231.111
Lucy Beahan,Enough Blue Today,Last Girl,0.0819,0.104,0.526,0.05,0.965,0,296.803
Yzomandias,Habibi (Remix),Habibi - Remix,0.535,0.576,0.831,0.265,0.112,43,115
Einár,Fusk,Fusk,0.505,0.31,0.702,0.214,0.194,50,203.294
Lil Tjay,Hold On,Hold On,0.609,0.737,0.686,0.165,0.142,59,189.474
BTS,Love Yourself 結 'Answer',IDOL,0.857,0.446,0.709,0.0881,0.00219,68,260.234
Israel & Rodolffo,Conselho (ao Vivo),Conselho - Ao Vivo,0.826,0.767,0.824,0.0596,0.16,52,142.413
maNga,Şehr-i Hüzün,Cevapsız Sorular,0.696,0.447,0.465,0.0294,0.103,63,272.04
Branco,BABA BUSINESS,LA PRIMERA,0.586,0.545,0.725,0.217,0.19,37,188.396
ABREU,Teipillä tai rakkaudella,Sivuvaikutuksii,0.773,0.661,0.728,0.243,0.0806,33,201.485
View,Bury Me,Bury Me,0.577,0.15,0.581,0.0374,0.0361,38,201.536
Scridge,Karma,Karma,0.58,0.689,0.773,0.0488,0.704,46,208.907
Soobin Hoang Son,Đã Đến Lúc,Đã Đến Lúc,0.809,0.211,0.652,0.0379,0.0445,32,252.632
Pálmi Gunnarsson,Friðarjól,Gleði og friðarjól,0.319,0.71,0.804,0.0304,0.761,2,224.073
ICEKIID,Melodisk,Melodisk,0.586,0.714,0.613,0.32,0.141,45,196.2
Aaron Tveit,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),Do You Hear The People Sing?,0.393,0.541,0.385,0.0385,0.891,57,123.16
Harry Styles,Fine Line,Treat People With Kindness,0.869,0.697,0.653,0.0382,0.128,72,197.347
DJ Khaled,Father Of Asahd,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",0.761,0.653,0.527,0.341,0.073,66,260
Yaro,A zéro,Bucci Night,0.65,0.402,0.696,0.149,0.0893,53,188.646
Carly Rae Jepsen,Dedicated Side B,This Love Isn't Crazy,0.728,0.252,0.632,0.0604,0.00308,72,233.373
Ricky Gazetta,Stranded,Stranded,0.831,0.125,0.674,0.0384,0.0067,13,157.709
BLACHA,FAMA,Bonnie & Clyde,0.627,0.258,0.758,0.392,0.79,50,174.538
Hilltop Hoods,Leave Me Lonely,Leave Me Lonely,0.868,0.754,0.764,0.0505,0.279,0,194.56
WeiBird,雙棲動物,雙棲動物,0.295,0.238,0.456,0.0311,0.834,51,293.833
Patent Ochsner,Cut Up,Für immer uf di,0.535,0.481,0.622,0.0296,0.508,42,229.853
Lukku Láki,"Lukku Láki, Vol. 1",Þetta Er Ekki Rán,0.812,0.449,0.62,0.356,0.129,14,119.625
Carlos Vives,"Déjame Quererte (feat. Cholo Valderrama, Cynthia Montaño, Elkin Robinson, Kombilesa Mí & Velo de Oza)","Déjame Quererte (feat. Cholo Valderrama, Cynthia Montaño, Elkin Robinson, Kombilesa Mí & Velo de Oza)",0.911,0.48,0.704,0.0692,0.0754,41,210.898
Andrés Cepeda,Infinito,Infinito,0.718,0.473,0.581,0.0734,0.182,58,200.571
TOOL,Fear Inoculum,Pneuma,0.529,0.0561,0.417,0.0315,0.00211,67,713.192
KALIM,bis um 3,bis um 3,0.652,0.392,0.842,0.132,0.0678,54,173.307
1.Cuz,Swedens Most Wanted,Swedens Most Wanted,0.633,0.75,0.751,0.101,0.635,0,145.6
Coldplay,Everyday Life,Orphans,0.808,0.283,0.503,0.045,0.0254,70,197.533
Leto,Virus: avant l'album,Drill Papers,0.582,0.465,0.908,0.276,0.021,58,159.933
StephenFlint24,Let Me Praise You,Let Me Praise You,0.299,0.0377,0.245,0.0462,0.965,7,224.189
Lil Wayne,Funeral,I Don't Sleep (ft. Takeoff),0.635,0.758,0.587,0.422,0.0785,64,200.733
The Toys,ฝันฤดูร้อน,ฝันฤดูร้อน,0.467,0.811,0.719,0.0337,0.515,39,180
Fernando & Sorocaba,#Isso é Churrasco (Ao Vivo) [Deluxe],Plateia - Ao Vivo,0.632,0.675,0.805,0.0402,0.53,65,173.952
Dizzy,Hinner Ikapp,Hinner Ikapp,0.504,0.271,0.834,0.321,0.104,56,160.833
Sia Babez,Hit My Line,Hit My Line,0.578,0.456,0.713,0.0721,0.0473,21,211.211
Tom Walker,What a Time To Be Alive,Just You and I,0.696,0.544,0.567,0.301,0.456,67,174.983
Dreamville,Revenge Of The Dreamers III,"Swivel (with EARTHGANG) - From The Album ""Mirrorland""",0.545,0.392,0.507,0.43,0.25,53,194.613
13 Block,BLO,CR,0.642,0.727,0.818,0.235,0.0762,46,185.427
Aden x Asme,12 TILL 12,Kommit långt (feat. Dani M),0.646,0.555,0.562,0.35,0.605,45,201.6
Dorothea Berger,Friday Night,Figaro You,0.493,0.639,0.533,0.0387,0.0185,0,440.346
Smack,P`s A Love 2,Dobrý den,0.671,0.388,0.868,0.174,0.0327,37,157.539
Greeicy,Baila,Destino,0.767,0.695,0.701,0.0746,0.0135,74,180.48
Rick Ross,Port of Miami 2,Act a Fool (feat. Wale),0.81,0.441,0.599,0.126,0.0133,54,286.213
STEREO,STEREO (Woo Woo / Vuosien päästä),Woo Woo (feat. Michael Monroe),0.692,0.339,0.697,0.0372,0.0466,0,173.871
El Alfa,Coronao Now (Remix),Coronao Now (Remix),0.853,0.695,0.883,0.168,0.255,73,250.169
Fredo,Third Avenue,Doing the Most (feat. Lil Dotz),0.673,0.0623,0.721,0.16,0.0104,40,184.427
Luca Natale,The Kites,The Kites,0.623,0.939,0.391,0.0497,0.242,36,199.059
Jul,Rien 100 Rien,Ratata,0.767,0.877,0.928,0.272,0.374,0,215.893
Piso 21,Ubuntu,Puntos Suspensivos,0.731,0.952,0.823,0.103,0.175,72,186.316
G.E.M.,MySecret,我的秘密 (MySecret),0.741,0.397,0.563,0.031,0.213,59,248.486
Ian,Mili,Mili,0.471,0.138,0.613,0.107,0.832,50,173.333
Saske,Mal Di Luna,UFOS,0.667,0.548,0.73,0.18,0.0357,43,206.882
Menor Menor,Trinity La Marca,La Solicitud,0.687,0.682,0.849,0.15,0.196,21,237.24
Ninho,Pirate,Pirate,0.556,0.613,0.541,0.358,0.491,71,245.693
Ufo361,Rich Rich,Fokus auf die Zukunft,0.662,0.195,0.823,0.413,0.018,61,110.11
Juan Luis Guerra 4.40,Kitipun,Kitipun,0.676,0.747,0.857,0.0316,0.405,57,216.947
Kali,"Dovi, Dopo",Nejsom Ten Pravý,0.846,0.662,0.742,0.0612,0.15,34,215.423
SIRUP,SIRUP EP2,Do Well,0.723,0.478,0.78,0.0887,0.131,51,205.238
Lauri Tähkä,TOP 10,Mä en pelkää,0.815,0.502,0.589,0.0516,0.00458,48,218.354
Stillaround,Photos of Photos,Pt. 1,0.494,0.197,0.575,0.0386,0.426,0,109.349
Rotem Cohen,בלילות,בלילות,0.604,0.207,0.316,0.0388,0.681,50,231
Hailee Steinfeld,Half Written Story,End This (L.O.V.E.),0.427,0.408,0.621,0.333,0.323,71,183.218
Artem x Yonas,Kehonkieli,Vodkaa Ja Tunteita,0.679,0.357,0.769,0.0387,0.0867,40,225.139
Hp Boyz,6 To The WORLD,Block Party,0.604,0.645,0.878,0.32,0.494,54,212.571
MERO,YA HERO YA MERO,Enes Meral,0.657,0.618,0.676,0.146,0.278,47,155.2
Sabaton,The Red Baron,The Red Baron,0.97,0.196,0.404,0.42,0.0257,5,202.333
Misshmusic,MERCI,Cinema,0.535,0.891,0.729,0.0938,0.483,32,201.482
Lartiste,QUARTIER LATIN VOL.1,TIKKA,0.683,0.312,0.778,0.11,0.0191,50,220.35
Herman Flesvig,Satsebrakka 2020,Satsebrakka 2020,0.71,0.8,0.61,0.0951,0.0283,54,157.264
Mlindo The Vocalist,Emakhaya,"Macala (Radio Version) (feat. Sfeesoh, Kwesta & Thabsie)",0.537,0.287,0.668,0.225,0.0688,36,272.307
Josh.,Von Mädchen und Farben,Cordula Grün,0.649,0.73,0.757,0.0536,0.427,50,213.848
Herrat,LOL (2020),LOL (2020),0.705,0.956,0.746,0.0411,0.0106,28,167.478
Francesco Gabbani,Viceversa,Viceversa,0.718,0.551,0.529,0.0336,0.0348,69,215.267
