id,track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity,album
7rFjD9wrlpv990otN6tjVi,PETŐFI,Krúbi,0.793,0.696,7,-7.82,1,0.239,0.017,3.55e-5,0.0656,0.326,128.012,audio_features,spotify:track:7rFjD9wrlpv990otN6tjVi,https://api.spotify.com/v1/tracks/7rFjD9wrlpv990otN6tjVi,https://api.spotify.com/v1/audio-analysis/7rFjD9wrlpv990otN6tjVi,298533,4,42,ÖSZTÖNLÉNY
0wjPB7hADG80X94HaCAZM7,FELEJTŐ,Krúbi,0.394,0.685,0,-7.515,1,0.0982,0.143,7.54e-6,0.922,0.0637,140.082,audio_features,spotify:track:0wjPB7hADG80X94HaCAZM7,https://api.spotify.com/v1/tracks/0wjPB7hADG80X94HaCAZM7,https://api.spotify.com/v1/audio-analysis/0wjPB7hADG80X94HaCAZM7,364120,4,39,ÖSZTÖNLÉNY
5Q4Qg0UjhtySUTA0TsnUSp,KUTYA,Krúbi,0.45,0.719,10,-6.561,0,0.126,0.0341,0,0.0844,0.042,137.803,audio_features,spotify:track:5Q4Qg0UjhtySUTA0TsnUSp,https://api.spotify.com/v1/tracks/5Q4Qg0UjhtySUTA0TsnUSp,https://api.spotify.com/v1/audio-analysis/5Q4Qg0UjhtySUTA0TsnUSp,323360,4,40,ÖSZTÖNLÉNY
0QFq5Gq1iHUf5IFzibitHh,SAPIENS,Krúbi,0.739,0.714,8,-7.407,1,0.0469,0.171,0.00197,0.217,0.229,124.998,audio_features,spotify:track:0QFq5Gq1iHUf5IFzibitHh,https://api.spotify.com/v1/tracks/0QFq5Gq1iHUf5IFzibitHh,https://api.spotify.com/v1/audio-analysis/0QFq5Gq1iHUf5IFzibitHh,352467,4,40,ÖSZTÖNLÉNY
0lvIvQusoS30AUynz0WP4p,DINAMIT,Krúbi,0.752,0.483,1,-7.889,0,0.101,0.353,1.61e-5,0.136,0.139,124.995,audio_features,spotify:track:0lvIvQusoS30AUynz0WP4p,https://api.spotify.com/v1/tracks/0lvIvQusoS30AUynz0WP4p,https://api.spotify.com/v1/audio-analysis/0lvIvQusoS30AUynz0WP4p,281160,4,39,ÖSZTÖNLÉNY
64XX6Y59usqsnvrNr4PzEs,CSEKK,Krúbi,0.815,0.412,0,-9.821,1,0.0726,0.0152,0.00152,0.107,0.327,97.991,audio_features,spotify:track:64XX6Y59usqsnvrNr4PzEs,https://api.spotify.com/v1/tracks/64XX6Y59usqsnvrNr4PzEs,https://api.spotify.com/v1/audio-analysis/64XX6Y59usqsnvrNr4PzEs,263013,4,37,ÖSZTÖNLÉNY
49bEGmrcWEYo2Rxxcoyqaa,COPFOCSKA,Krúbi,0.598,0.486,7,-8.347,1,0.044,0.39,1.77e-5,0.236,0.391,129.888,audio_features,spotify:track:49bEGmrcWEYo2Rxxcoyqaa,https://api.spotify.com/v1/tracks/49bEGmrcWEYo2Rxxcoyqaa,https://api.spotify.com/v1/audio-analysis/49bEGmrcWEYo2Rxxcoyqaa,339307,3,37,ÖSZTÖNLÉNY
0yFWdhx0rDU4zNddqvfu33,Red Desert,5 Seconds of Summer,0.504,0.83,9,-4.474,1,0.121,0.0205,2.49e-6,0.0563,0.449,133.929,audio_features,spotify:track:0yFWdhx0rDU4zNddqvfu33,https://api.spotify.com/v1/tracks/0yFWdhx0rDU4zNddqvfu33,https://api.spotify.com/v1/audio-analysis/0yFWdhx0rDU4zNddqvfu33,229557,4,68,CALM
4CufDREo1dO9TL7txA5SGA,Lover Of Mine,5 Seconds of Summer,0.316,0.858,11,-2.536,0,0.0547,0.194,0,0.151,0.305,94.006,audio_features,spotify:track:4CufDREo1dO9TL7txA5SGA,https://api.spotify.com/v1/tracks/4CufDREo1dO9TL7txA5SGA,https://api.spotify.com/v1/audio-analysis/4CufDREo1dO9TL7txA5SGA,206974,3,69,CALM
4kLm0P01JM1xS94Z4JC3oE,No Shame,5 Seconds of Summer,0.576,0.807,7,-3.019,1,0.0374,0.0185,2.45e-6,0.0963,0.48,90.932,audio_features,spotify:track:4kLm0P01JM1xS94Z4JC3oE,https://api.spotify.com/v1/tracks/4kLm0P01JM1xS94Z4JC3oE,https://api.spotify.com/v1/audio-analysis/4kLm0P01JM1xS94Z4JC3oE,192737,4,72,CALM
0neaGfF0KBgZEXbNeYgGr9,Lonely Heart,5 Seconds of Summer,0.592,0.713,11,-5.566,0,0.0513,0.043,0,0.157,0.261,126.096,audio_features,spotify:track:0neaGfF0KBgZEXbNeYgGr9,https://api.spotify.com/v1/tracks/0neaGfF0KBgZEXbNeYgGr9,https://api.spotify.com/v1/audio-analysis/0neaGfF0KBgZEXbNeYgGr9,204029,4,67,CALM
5kAaMEMUI7UyCFBql2LP2x,Thin White Lies,5 Seconds of Summer,0.557,0.858,9,-3.115,0,0.0357,0.016,0,0.0885,0.608,149.977,audio_features,spotify:track:5kAaMEMUI7UyCFBql2LP2x,https://api.spotify.com/v1/tracks/5kAaMEMUI7UyCFBql2LP2x,https://api.spotify.com/v1/audio-analysis/5kAaMEMUI7UyCFBql2LP2x,182698,4,67,CALM
2I2yw1jXVtcbiRLYuuu52u,Not In The Same Way,5 Seconds of Summer,0.687,0.67,0,-3.331,1,0.0444,0.185,0,0.104,0.734,134.972,audio_features,spotify:track:2I2yw1jXVtcbiRLYuuu52u,https://api.spotify.com/v1/tracks/2I2yw1jXVtcbiRLYuuu52u,https://api.spotify.com/v1/audio-analysis/2I2yw1jXVtcbiRLYuuu52u,220606,4,68,CALM
3sUOONjFxjepoSXvKYrz5E,Lej,Dzsúdló,0.79,0.503,1,-9.301,1,0.206,0.527,0,0.11,0.241,75.008,audio_features,spotify:track:3sUOONjFxjepoSXvKYrz5E,https://api.spotify.com/v1/tracks/3sUOONjFxjepoSXvKYrz5E,https://api.spotify.com/v1/audio-analysis/3sUOONjFxjepoSXvKYrz5E,168800,4,49,Fotofóbia
